02:17:28:780 [08040] | INFO  | Initializing crosire's ReShade version '5.9.0.26' (64-bit) loaded from "D:\mpvnet\mpvnet\OPENGL32.dll" into "D:\mpvnet\mpvnet\mpvnet.exe" -- http://localhost:8096/emby/videos/6398/stream.mp4?api_key=3521600ed14e4879adfffa77fb96c12e&Static=true&MediaSourceId=770874ab005c6d8342fc058f5475d2f2 ...
02:17:28:782 [08040] | INFO  | Registering hooks for "user32.dll" ...
02:17:28:783 [08040] | INFO  | > Libraries loaded.
02:17:28:784 [08040] | INFO  | > Found 14 match(es). Installing ...
02:17:28:819 [08040] | INFO  | Registering hooks for "C:\Windows\system32\dinput.dll" ...
02:17:28:821 [08040] | INFO  | > Delayed.
02:17:28:826 [08040] | INFO  | Registering hooks for "C:\Windows\system32\opengl32.dll" ...
02:17:28:827 [08040] | INFO  | > Delayed until first call to an exported function.
02:17:28:827 [08040] | INFO  | Registering hooks for "vrclient_x64.dll" ...
02:17:28:828 [08040] | INFO  | > Delayed.
02:17:28:829 [08040] | INFO  | Initialized.
02:17:32:486 [08040] | INFO  | Redirecting RegisterClassExW(lpWndClassEx = 00000000007FD770 { "HwndWrapper[mpvnet.exe;;c9814e5a-abb8-45aa-9bd7-a9dfec5a0e53]", style = 0 }) ...
02:27:58:929 [08040] | INFO  | Exiting ...
02:27:58:930 [08040] | INFO  | Uninstalling 14 hook(s) ...
02:27:59:965 [08040] | INFO  | Finished exiting.
