01:55:00:310 [28136] | INFO  | Initializing crosire's ReShade version '5.9.0.26' (64-bit) loaded from "D:\mpvnet\mpvnet\OPENGL32.dll" into "ImPlay" "D:\转储存\视频\2022-12-18 17-41-42.mkv" --no-config --msg-level=all=no --idle --pause --keep-open=always --really-quiet --no-terminal --edition=auto --vid=1 --no-sub --no-audio --start=1747.1397816559 --hr-seek=no --ytdl-format=worst --demuxer-readahead-secs=0 --demuxer-max-bytes=128KiB --vd-lavc-skiploopfilter=all --vd-lavc-software-fallback=1 --vd-lavc-fast --vd-lavc-threads=2 --hwdec=no --vf=scale=w=200:h=113:force_original_aspect_ratio=decrease,pad=w=200:h=113:x=-1:y=-1,format=bgra --sws-scaler=fast-bilinear --video-rotate=0 --ovc=rawvideo --of=image2 --ofopts=update=1 --o=C:\Users\ASUS\AppData\Local\Temp\thumbfast.out27948 --sws-allow-zimg=no --input-ipc-server=thumbfast27948 ...
01:55:00:312 [28136] | INFO  | Registering hooks for "user32.dll" ...
01:55:00:313 [28136] | INFO  | > Libraries loaded.
01:55:00:315 [28136] | INFO  | > Found 14 match(es). Installing ...
01:55:00:352 [28136] | INFO  | Registering hooks for "C:\Windows\system32\dinput.dll" ...
01:55:00:354 [28136] | INFO  | > Delayed.
01:55:00:355 [28136] | INFO  | Registering hooks for "C:\Windows\system32\opengl32.dll" ...
01:55:00:356 [28136] | INFO  | > Delayed until first call to an exported function.
01:55:00:357 [28136] | INFO  | Registering hooks for "vrclient_x64.dll" ...
01:55:00:358 [28136] | INFO  | > Delayed.
01:55:00:359 [28136] | INFO  | Initialized.
